chr	start	end	strand	name	id
chr10	35104198	35104499	-	PARD3	ENST00000350537.8
chr10	115312534	115312835	+	HABP2	ENST00000351270.3
chr10	70715633	70715934	+	DDX21	ENST00000354185.8
chr10	70979808	70980109	+	HKDC1	ENST00000354624.5
chr10	114133525	114133826	+	ACSL5	ENST00000354655.8
chr10	5454263	5454564	+	NET1	ENST00000355029.8
chr10	102505217	102505518	+	PAX2	ENST00000355243.7
chr10	61900723	61901024	-	ANK3	ENST00000355288.6
chr10	8095396	8095697	-	GATA3-AS1	ENST00000355358.1
chr10	119806063	119806364	-	RAB11FIP2	ENST00000355624.7
chr10	43572224	43572525	+	RET	ENST00000355710.7
chr10	50747021	50747322	-	ERCC6	ENST00000355832.9
chr10	29923850	29924151	-	SVIL	ENST00000355867.8
chr10	98592461	98592762	+	LCOR	ENST00000356016.7
chr10	111767469	111767770	+	ADD3	ENST00000356080.8
chr10	114135705	114136006	+	ACSL5	ENST00000356116.5
chr10	15130724	15131025	-	ACBD7	ENST00000356189.5
chr10	103603550	103603851	-	KCNIP2	ENST00000356640.6
chr10	101088605	101088906	+	CNNM1	ENST00000356713.4
chr10	27792946	27793247	+	RAB18	ENST00000356940.10
chr10	43903216	43903517	-	HNRNPF	ENST00000357065.8
chr10	90750284	90750585	+	FAS	ENST00000357339.6
chr10	14372832	14373133	-	FRMD4A	ENST00000357447.6
chr10	12084782	12085083	-	UPF2	ENST00000357604.9
chr10	5708490	5708791	-	ASB13	ENST00000357700.10
chr10	124895227	124895528	+	HMX3	ENST00000357878.5
chr10	62761147	62761448	-	RHOBTB1	ENST00000357917.4
chr10	98273617	98273918	-	TLL2	ENST00000357947.3
chr10	1095227	1095528	+	WDR37	ENST00000358220.5
chr10	70092633	70092934	-	PBLD	ENST00000358769.6
chr10	94050669	94050970	+	MARCH5	ENST00000358935.2
chr10	135122194	135122495	+	ZNF511	ENST00000359035.4
chr10	95462278	95462579	-	FRA10AC1	ENST00000359204.4
chr10	75401464	75401765	-	MYOZ1	ENST00000359322.4
chr10	71078349	71078650	+	HK1	ENST00000359426.6
chr10	70939737	70940038	+	SUPV3L1	ENST00000359655.8
chr10	111765311	111765612	+	ADD3	ENST00000360162.7
chr10	49892670	49892971	+	WDFY4	ENST00000360890.6
chr10	115510962	115511263	+	PLEKHS1	ENST00000361048.5
chr10	103874652	103874953	-	LDB1	ENST00000361198.9
chr10	68685513	68685814	+	LRRTM3	ENST00000361320.4
chr10	35456193	35456494	+	CREM	ENST00000361599.8
chr10	31607850	31608151	+	ZEB1	ENST00000361642.9
chr10	102505726	102506027	+	PAX2	ENST00000361791.7
chr10	112327198	112327499	+	SMC3	ENST00000361804.4
chr10	44101604	44101905	+	ZNF485	ENST00000361807.7
chr10	102046379	102046680	-	BLOC1S2	ENST00000361832.2
chr10	121485358	121485659	+	INPP5F	ENST00000361976.6
chr10	22221821	22222122	+	RN7SKP37	ENST00000364494.1
chr10	110321522	110321823	-	AL353740.1	ENST00000366253.2
chr10	135344829	135345130	+	CYP2E1	ENST00000368520.1
chr10	135122663	135122964	+	AL360181.5	ENST00000368554.8
chr10	135150325	135150626	-	CALY	ENST00000368555.3
chr10	134351073	134351374	+	INPP5A	ENST00000368594.7
chr10	134145284	134145585	-	STK32C	ENST00000368619.3
chr10	133109933	133110234	-	TCERG1L	ENST00000368642.4
chr10	129924598	129924899	-	MKI67	ENST00000368654.7
chr10	129691160	129691461	-	CLRN3	ENST00000368671.3
chr10	128076973	128077274	-	ADAM12	ENST00000368676.8
chr10	127584857	127585158	+	FANK1	ENST00000368693.5
chr10	127505150	127505451	-	UROS	ENST00000368786.5
chr10	127511745	127512046	-	UROS	ENST00000368797.8
chr10	126107454	126107755	-	OAT	ENST00000368845.5
chr10	124913667	124913968	+	BUB3	ENST00000368859.6
chr10	124768244	124768545	+	ACADSB	ENST00000368869.8
chr10	124713776	124714077	-	C10orf88	ENST00000368891.9
chr10	124220790	124221091	+	HTRA1	ENST00000368984.7
chr10	123922854	123923155	+	TACC2	ENST00000368999.5
chr10	123687500	123687801	-	ATE1	ENST00000369043.7
chr10	121651972	121652273	+	SEC23IP	ENST00000369075.7
chr10	121632310	121632611	-	MCMBP	ENST00000369077.3
chr10	121577977	121578278	+	INPP5F	ENST00000369080.4
chr10	121410631	121410932	+	BAG3	ENST00000369085.7
chr10	121302169	121302470	-	RGS10	ENST00000369103.2
chr10	120840265	120840566	-	EIF3A	ENST00000369144.7
chr10	120514707	120515008	-	CACUL1	ENST00000369151.7
chr10	118502034	118502335	-	HSPA12A	ENST00000369209.7
chr10	118305192	118305493	+	PNLIP	ENST00000369221.2
chr10	118187128	118187429	+	PNLIPRP3	ENST00000369230.3
chr10	116581252	116581553	+	FAM160B1	ENST00000369248.8
chr10	116444711	116445012	-	ABLIM1	ENST00000369256.6
chr10	115938778	115939079	+	TDRD1	ENST00000369282.5
chr10	115933910	115934211	-	CCDC186	ENST00000369285.7
chr10	115614169	115614470	+	NHLRC2	ENST00000369301.3
chr10	115439385	115439686	+	CASP7	ENST00000369318.7
chr10	115423754	115424055	-	NRAP	ENST00000369360.7
chr10	114886198	114886499	+	TCF7L2	ENST00000369389.6
chr10	114206608	114206909	-	ZDHHC6	ENST00000369404.3
chr10	113943417	113943718	-	GPAM	ENST00000369425.5
chr10	112403904	112404205	+	RBM20	ENST00000369519.3
chr10	112257345	112257646	+	DUSP5	ENST00000369583.3
chr10	111765747	111766048	-	ADD3-AS1	ENST00000369655.3
chr10	111713598	111713899	-	ADD3-AS1	ENST00000369657.5
chr10	106400835	106401136	+	SORCS3	ENST00000369699.8
chr10	106113271	106113572	+	CFAP58	ENST00000369704.7
chr10	106034669	106034970	+	GSTO2	ENST00000369707.2
chr10	105992012	105992313	-	CFAP43	ENST00000369720.5
chr10	105881672	105881973	+	SFR1	ENST00000369727.3
chr10	105615250	105615551	-	SH3PXD2A	ENST00000369774.8
chr10	105253485	105253786	+	NEURL1	ENST00000369780.8
chr10	105156154	105156455	+	PDCD11	ENST00000369797.7
chr10	105156147	105156448	-	USMG5	ENST00000369815.5
chr10	105127473	105127774	+	TAF5	ENST00000369839.3
chr10	105036669	105036970	+	INA	ENST00000369849.8
chr10	104677799	104678100	+	CNNM2	ENST00000369878.8
chr10	104613768	104614069	+	BORCS7	ENST00000369883.3
chr10	104535755	104536056	+	WBP1L	ENST00000369889.5
chr10	104263493	104263794	+	SUFU	ENST00000369902.7
chr10	104154103	104154404	+	NFKB2	ENST00000369966.7
chr10	104005038	104005339	+	GBF1	ENST00000369983.3
chr10	104001180	104001481	-	PITX3	ENST00000370002.7
chr10	103985834	103986135	+	ELOVL3	ENST00000370005.3
chr10	103815899	103816200	-	C10orf76	ENST00000370033.8
chr10	103347794	103348095	+	DPCD	ENST00000370151.8
chr10	102756578	102756879	+	LZTS2	ENST00000370223.7
chr10	102672469	102672770	+	SLF2	ENST00000370271.7
chr10	102279540	102279841	-	SEC31B	ENST00000370345.7
chr10	102106630	102106931	+	SCD	ENST00000370355.2
chr10	101989325	101989626	-	CHUK	ENST00000370397.7
chr10	101945735	101946036	-	ERLIN1	ENST00000370408.2
chr10	101841583	101841884	-	CPN1	ENST00000370418.7
chr10	101542238	101542539	+	ABCC2	ENST00000370449.8
chr10	101491726	101492027	+	CUTC	ENST00000370476.9
chr10	101491806	101492107	-	COX15	ENST00000370483.9
chr10	101419012	101419313	+	ENTPD7	ENST00000370489.4
chr10	101380070	101380371	-	SLC25A28	ENST00000370495.5
chr10	101190299	101190600	-	GOT1	ENST00000370508.5
chr10	100995568	100995869	-	HPSE2	ENST00000370549.5
chr10	99447029	99447330	-	AVPI1	ENST00000370626.3
chr10	99400192	99400493	+	PI4K2A	ENST00000370631.3
chr10	99393197	99393498	-	MORN4	ENST00000370635.3
chr10	99349233	99349534	+	C10orf62	ENST00000370640.4
chr10	99343880	99344181	+	AL355315.1	ENST00000370649.3
chr10	99258374	99258675	+	UBTD1	ENST00000370664.3
chr10	99094415	99094716	-	FRAT2	ENST00000371019.3
chr10	99078773	99079074	+	FRAT1	ENST00000371021.4
chr10	99030370	99030671	-	ARHGAP19	ENST00000371027.5
chr10	98945464	98945765	-	SLIT1	ENST00000371070.8
chr10	98591788	98592089	+	LCOR	ENST00000371103.8
chr10	98346758	98347059	-	TM9SF3	ENST00000371142.8
chr10	98119008	98119309	-	OPALIN	ENST00000371172.7
chr10	98063902	98064203	+	DNTT	ENST00000371174.4
chr10	97515158	97515459	+	ENTPD1	ENST00000371207.8
chr10	97453605	97453906	-	TCTN3	ENST00000371209.5
chr10	95848532	95848833	+	PLCE1	ENST00000371385.7
chr10	95372094	95372395	+	PDE6C	ENST00000371447.3
chr10	95360932	95361233	-	RBP4	ENST00000371464.7
chr10	95326171	95326472	+	FFAR4	ENST00000371481.8
chr10	95256138	95256439	+	CEP55	ENST00000371485.7
chr10	95242023	95242324	-	MYOF	ENST00000371489.5
chr10	93557818	93558119	+	TNKS2	ENST00000371627.4
chr10	93169850	93170151	+	HECTD2	ENST00000371681.8
chr10	91295262	91295563	-	SLC16A12	ENST00000371790.4
chr10	91174092	91174393	+	IFIT5	ENST00000371795.4
chr10	91137562	91137863	+	IFIT1B	ENST00000371809.3
chr10	91091990	91092291	+	IFIT3	ENST00000371811.4
chr10	91174263	91174564	-	LIPA	ENST00000371837.5
chr10	90967020	90967321	-	CH25H	ENST00000371852.3
chr10	90611524	90611825	-	ANKRD22	ENST00000371930.4
chr10	89264381	89264682	+	MINPP1	ENST00000371994.8
chr10	88414063	88414364	+	OPN4	ENST00000372071.6
chr10	86001166	86001467	-	LRIT1	ENST00000372105.3
chr10	85933243	85933544	+	C10orf99	ENST00000372126.3
chr10	82218807	82219108	+	TSPAN14	ENST00000372156.5
chr10	82213827	82214128	+	TSPAN14	ENST00000372157.6
chr10	82173324	82173625	+	FAM213A	ENST00000372187.9
chr10	82116458	82116759	-	DYDC1	ENST00000372202.5
chr10	82049389	82049690	-	MAT1A	ENST00000372213.7
chr10	81892226	81892527	+	PLAC9	ENST00000372263.3
chr10	81891187	81891488	+	PLAC9	ENST00000372270.6
chr10	81708808	81709109	-	SFTPD	ENST00000372292.7
chr10	81320091	81320392	-	SFTPA2	ENST00000372327.9
chr10	81203924	81204225	-	ZCCHC24	ENST00000372333.3
chr10	81205332	81205633	-	ZCCHC24	ENST00000372336.3
chr10	79789252	79789553	-	POLR3A	ENST00000372371.7
chr10	79398076	79398377	-	KCNMA1	ENST00000372443.6
chr10	77161613	77161914	-	ZNF503	ENST00000372524.4
chr10	76586107	76586408	+	KAT6B	ENST00000372724.5
chr10	76585089	76585390	+	KAT6B	ENST00000372725.5
chr10	75634209	75634510	-	CAMK2G	ENST00000372765.5
chr10	75541554	75541855	+	CHCHD1	ENST00000372837.3
chr10	75410736	75411037	-	SYNPO2L	ENST00000372873.8
chr10	75173774	75174075	-	ANXA7	ENST00000372919.8
chr10	74714485	74714786	-	PLA2G12B	ENST00000373032.3
chr10	74451638	74451939	+	MCU	ENST00000373053.7
chr10	73723872	73724173	+	CHST3	ENST00000373115.4
chr10	73078764	73079065	+	SLC29A3	ENST00000373189.5
chr10	72142294	72142595	-	LRRC20	ENST00000373224.5
chr10	71993132	71993433	-	PPA1	ENST00000373232.7
chr10	71930217	71930518	-	SAR1A	ENST00000373239.2
chr10	71210978	71211279	+	TSPAN15	ENST00000373290.6
chr10	71176572	71176873	-	TACR2	ENST00000373306.4
chr10	71168987	71169288	-	TACR2	ENST00000373307.5
chr10	70660783	70661084	+	DDX50	ENST00000373585.7
chr10	69991809	69992110	-	ATOH7	ENST00000373673.4
chr10	65280872	65281173	+	REEP3	ENST00000373758.4
chr10	64564366	64564667	+	ADO	ENST00000373783.2
chr10	62493197	62493498	-	ANK3	ENST00000373827.6
chr10	60144943	60145244	+	TFAM	ENST00000373895.7
chr10	60094484	60094785	+	UBE2D1	ENST00000373910.8
chr10	60027643	60027944	-	IPMK	ENST00000373935.3
chr10	56560897	56561198	-	PCDH15	ENST00000373955.5
chr10	54531409	54531710	-	MBL2	ENST00000373968.3
chr10	54073805	54074106	+	DKK1	ENST00000373970.3
chr10	53806286	53806587	+	PRKG1	ENST00000373975.2
chr10	52833683	52833984	+	PRKG1	ENST00000373980.8
chr10	52499457	52499758	+	ASAH2B	ENST00000374006.1
chr10	50970318	50970619	-	OGDHL	ENST00000374103.8
chr10	50887446	50887747	+	C10orf53	ENST00000374113.3
chr10	50818096	50818397	+	SLC18A3	ENST00000374115.4
chr10	50506987	50507288	+	C10orf71	ENST00000374144.7
chr10	50396385	50396686	-	C10orf128	ENST00000374148.1
chr10	46168129	46168430	-	ZFAND4	ENST00000374366.7
chr10	45869424	45869725	+	ALOX5	ENST00000374391.6
chr10	44880440	44880741	-	CXCL12	ENST00000374426.6
chr10	44340503	44340804	+	LINC00619	ENST00000374432.3
chr10	44144253	44144554	-	ZNF32	ENST00000374433.6
chr10	44069981	44070282	-	ZNF239	ENST00000374446.6
chr10	43633683	43633984	+	CSGALNACT2	ENST00000374466.3
chr10	43277998	43278299	+	BMS1	ENST00000374518.5
chr10	38299327	38299628	+	ZNF33A	ENST00000374618.7
chr10	35931155	35931456	-	FZD8	ENST00000374694.2
chr10	35415600	35415901	+	CREM	ENST00000374726.7
chr10	35379241	35379542	-	CUL2	ENST00000374748.5
chr10	33623513	33623814	-	NRP1	ENST00000374875.5
chr10	32667675	32667976	-	EPC1	ENST00000375110.6
chr10	31320803	31321104	-	ZNF438	ENST00000375311.1
chr10	30918640	30918941	-	LYZL2	ENST00000375318.3
chr10	30348402	30348703	-	JCAD	ENST00000375377.1
chr10	30024682	30024983	-	SVIL	ENST00000375400.7
chr10	29577739	29578040	+	LYZL1	ENST00000375500.7
chr10	28570967	28571268	-	MPP7	ENST00000375719.7
chr10	27530966	27531267	-	ACBD5	ENST00000375901.5
chr10	27389370	27389671	-	ANKRD26	ENST00000376087.4
chr10	27149813	27150114	-	ABI1	ENST00000376142.6
chr10	26986337	26986638	+	PDSS1	ENST00000376215.9
chr10	26726881	26727182	+	APBB1IP	ENST00000376236.8
chr10	25463740	25464041	+	GPR158	ENST00000376351.3
chr10	25241462	25241763	-	PRTFDC1	ENST00000376378.5
chr10	25010805	25011106	-	ARHGAP21	ENST00000376410.6
chr10	24497842	24498143	+	KIAA1217	ENST00000376454.7
chr10	23983424	23983725	+	KIAA1217	ENST00000376462.5
chr10	23728136	23728437	+	OTUD1	ENST00000376495.4
chr10	23481005	23481306	+	PTF1A	ENST00000376504.3
chr10	23384184	23384485	+	MSRB2	ENST00000376510.7
chr10	23003433	23003734	-	PIP4K2A	ENST00000376573.8
chr10	22634123	22634424	+	SPAG6	ENST00000376603.6
chr10	22609889	22610190	+	BMI1	ENST00000376663.7
chr10	22292603	22292904	-	DNAJC1	ENST00000376980.7
chr10	21786140	21786441	-	CASC10	ENST00000377113.5
chr10	20104917	20105218	+	PLXDC2	ENST00000377242.7
chr10	19777772	19778073	+	MALRD1	ENST00000377265.3
chr10	18948083	18948384	+	ARL5B	ENST00000377275.3
chr10	18940500	18940801	-	NSUN6	ENST00000377304.6
chr10	18240592	18240893	+	SLC39A12	ENST00000377371.3
chr10	17428699	17429000	+	ST8SIA6-AS1	ENST00000377597.6
chr10	17171752	17172053	-	CUBN	ENST00000377823.1
chr10	16859331	16859632	-	RSU1	ENST00000377921.7
chr10	15762073	15762374	-	ITGA8	ENST00000378076.3
chr10	15413007	15413308	-	FAM171A1	ENST00000378116.8
chr10	15210641	15210942	-	NMT2	ENST00000378165.8
chr10	15139079	15139380	+	RPP38	ENST00000378202.5
chr10	15085711	15086012	+	OLAH	ENST00000378217.3
chr10	14996020	14996321	-	DCLRE1C	ENST00000378258.5
chr10	14880523	14880824	-	CDNF	ENST00000378442.5
chr10	13390229	13390530	-	SEPHS1	ENST00000378614.8
chr10	13276280	13276581	-	UCMA	ENST00000378681.7
chr10	13203303	13203604	+	MCM10	ENST00000378714.7
chr10	13043646	13043947	-	CCDC3	ENST00000378825.4
chr10	12391481	12391782	+	CAMK1D	ENST00000378845.5
chr10	12171385	12171686	+	SEC61A2	ENST00000379051.5
chr10	11784114	11784415	+	ECHDC3	ENST00000379215.8
chr10	8096405	8096706	+	GATA3	ENST00000379328.7
chr10	7829893	7830194	-	KIN	ENST00000379562.8
chr10	6186646	6186947	+	PFKFB3	ENST00000379789.8
chr10	5931783	5932084	-	ANKRD16	ENST00000380092.8
chr10	5541467	5541768	-	CALML5	ENST00000380332.4
chr10	5406721	5407022	+	UCN3	ENST00000380433.4
chr10	5135734	5136035	+	AKR1C3	ENST00000380554.4
chr10	3827324	3827625	-	KLF6	ENST00000380946.3
chr10	3109461	3109762	+	PFKP	ENST00000381125.8
chr10	1246274	1246575	-	ADARB2	ENST00000381305.1
chr10	1779619	1779920	-	ADARB2	ENST00000381312.5
chr10	695766	696067	+	PRR26	ENST00000381489.6
chr10	129535248	129535549	+	FOXI2	ENST00000388920.4
chr10	86319948	86320249	+	RPS3AP5	ENST00000389400.4
chr10	101997008	101997309	-	SNORA12	ENST00000391162.1
chr10	134901158	134901459	+	ADGRA1	ENST00000392607.7
chr10	126150152	126150453	+	LHPP	ENST00000392757.8
chr10	121295994	121296295	-	RGS10	ENST00000392865.5
chr10	120966850	120967151	+	GRK5	ENST00000392870.2
chr10	116444165	116444466	-	ABLIM1	ENST00000392955.7
chr10	105845485	105845786	-	COL17A1	ENST00000393211.3
chr10	102790740	102791041	+	SFXN3	ENST00000393459.5
chr10	99205637	99205938	+	ZDHHC16	ENST00000393760.5
chr10	95044264	95044565	-	RPL17P34	ENST00000394133.2
chr10	90423947	90424248	+	LIPF	ENST00000394375.7
chr10	75531798	75532099	+	FUT11	ENST00000394790.2
chr10	75415779	75416080	-	SYNPO2L	ENST00000394810.2
chr10	73611031	73611332	-	PSAP	ENST00000394934.4
chr10	73533204	73533505	-	VSIR	ENST00000394957.7
chr10	72136484	72136785	-	LRRC20	ENST00000395011.5
chr10	70883657	70883958	+	VPS26A	ENST00000395098.5
chr10	64279956	64280257	+	ZNF365	ENST00000395251.5
chr10	89705008	89705309	+	RPL11P3	ENST00000395256.2
chr10	64028415	64028716	-	RTKN2	ENST00000395260.3
chr10	46030768	46031069	-	MARCH8	ENST00000395769.6
chr10	43762316	43762617	-	RASGEF1A	ENST00000395810.5
chr10	38146487	38146788	-	ZNF248	ENST00000395867.7
chr10	27529693	27529994	-	ACBD5	ENST00000396271.7
chr10	27443249	27443550	-	YME1L1	ENST00000396296.7
chr10	24755209	24755510	+	KIAA1217	ENST00000396446.5
chr10	13344361	13344662	-	PHYH	ENST00000396920.7
chr10	7708883	7709184	-	ITIH5	ENST00000397146.6
chr10	7453397	7453698	-	SFMBT2	ENST00000397167.5
chr10	6019404	6019705	-	IL15RA	ENST00000397255.7
chr10	5987812	5988113	-	AL137186.2	ENST00000397264.4
chr10	5931915	5932216	+	FBXO18	ENST00000397269.7
chr10	81370444	81370745	+	SFTPA1	ENST00000398636.7
chr10	74283643	74283944	-	MICU1	ENST00000398763.8
